,wav,maggies
505,4293048.062065886,4.163191592081705e-09
506,4269389.23370315,4.19155514221469e-09
507,4245860.78826448,4.220496690796224e-09
508,4222462.007214429,4.249737506451061e-09
509,4199192.17597737,4.279216312667107e-09
510,4176050.5839156723,4.311170541844408e-09
511,4153036.5243080035,4.344748902873981e-09
512,4130149.2943277494,4.380515433687085e-09
513,4107388.195021548,4.419456451507515e-09
514,4084752.5312879384,4.4590607577511265e-09
515,4062241.6118561425,4.497197481617103e-09
516,4039854.749264947,4.531772291510353e-09
517,4017591.25984171,4.5593456759494506e-09
518,3995450.4636814906,4.5819292253604765e-09
519,3973431.6846262733,4.597178978043689e-09
520,3951534.250244327,4.610860791874387e-09
521,3929757.4918096648,4.624725563307558e-09
522,3908100.744281624,4.638902729718348e-09
523,3886563.346284558,4.656071784124578e-09
524,3865144.6400876376,4.67612430349277e-09
525,3843843.97158476,4.700050559836204e-09
526,3822660.690274581,4.728099579805976e-09
527,3801594.1492406414,4.763582135026376e-09
528,3780643.7051316155,4.809689272928543e-09
529,3759808.7181416657,4.871668216038858e-09
530,3739088.551990899,4.9515474357516534e-09
531,3718482.5739059355,5.050693152308498e-09
532,3697990.154600587,5.15360198590943e-09
533,3677610.6682566376,5.26001722841096e-09
534,3657343.4925047355,5.339332487428069e-09
535,3637188.008405379,5.386018373785906e-09
536,3617143.6004300215,5.3952543974045725e-09
537,3597209.656442272,5.36078440164902e-09
538,3577385.567679194,5.31122013242049e-09
539,3557670.7287327303,5.24698402258109e-09
540,3538064.5375312013,5.191944586911072e-09
541,3518566.3953209193,5.1505857983957994e-09
542,3499175.7066479097,5.12492263295028e-09
543,3479891.8793397187,5.116233966754886e-09
544,3460714.324487336,5.116223501000657e-09
545,3441642.4564272086,5.125030315856901e-09
546,3422675.692723348,5.138692073216941e-09
547,3403813.454149554,5.153629286952237e-09
548,3385055.1646717177,5.169726371377303e-09
549,3366400.251430231,5.185620079053616e-09
550,3347848.1447225004,5.201437131052049e-09
551,3329398.277985538,5.217436771166909e-09
552,3311050.0877786605,5.232236683750614e-09
553,3292803.0137662906,5.247093366161013e-09
554,3274656.498700834,5.2618034412505314e-09
555,3256609.988405676,5.2756130616907085e-09
556,3238662.9317582394,5.2887806079887836e-09
557,3220814.780673168,5.302000297753818e-09
558,3203064.9900855827,5.314890921537989e-09
559,3185413.017934435,5.326746526096886e-09
560,3167858.3251459557,5.338190717692924e-09
561,3150400.375617194,5.349282649642351e-09
562,3133038.6361996396,5.360123280951982e-09
563,3115772.5766829425,5.370623275468479e-09
564,3098601.6697787256,5.38034971402953e-09
565,3081525.391104474,5.389136413002537e-09
566,3064543.219167534,5.397070887735848e-09
567,3047654.635349168,5.404605409094804e-09
568,3030859.123888734,5.4116275321883185e-09
569,3014156.171867924,5.417491705839751e-09
570,2997545.269195105,5.422933288130713e-09
571,2981025.908589742,5.427943612551817e-09
572,2964597.5855669025,5.431896469991776e-09
573,2948259.798421851,5.435502595895119e-09
574,2932012.0482147275,5.437671657270936e-09
575,2915853.838755313,5.439015072861852e-09
576,2899784.6765878764,5.439542997176619e-09
577,2883804.0709760985,5.438713504550849e-09
578,2867911.533888089,5.436976739294769e-09
579,2852106.579981489,5.434691461700303e-09
580,2836388.7265886385,5.4309639952711615e-09
581,2820757.493701841,5.42582573838933e-09
582,2805212.403958709,5.4207294456951966e-09
583,2789752.9826275767,5.414686100814875e-09
584,2774378.757593008,5.405593382089055e-09
585,2759089.2593413796,5.395764411598838e-09
586,2743884.0209465353,5.38541992633387e-09
587,2728762.5780555406,5.372974842869074e-09
588,2713724.468874483,5.359580673531257e-09
589,2698769.2341543846,5.345506042930982e-09
590,2683896.41717717,5.3291171270404625e-09
591,2669105.563741719,5.3104053044451696e-09
592,2654396.2221500007,5.291035292219705e-09
593,2639767.9431932727,5.2710045473137544e-09
594,2625220.2801383645,5.24857532448924e-09
595,2610752.788714035,5.225702798971891e-09
596,2596365.0270974087,5.201664064742008e-09
597,2582056.555900478,5.175050431330096e-09
598,2567826.9381566853,5.14727557358901e-09
599,2553675.7393075805,5.117431332792442e-09
600,2539602.527189547,5.0858787549872765e-09
601,2525606.87202061,5.052367605628923e-09
602,2511688.3463873016,5.0146517441952315e-09
603,2497846.5252316203,4.974689916055597e-09
604,2484080.985838038,4.933952290704372e-09
605,2470391.3078205963,4.892687413076991e-09
606,2456777.073110073,4.851477052754818e-09
607,2443237.8659412046,4.811440757409205e-09
608,2429773.2728399974,4.774541555446714e-09
609,2416382.8826110973,4.740793226485819e-09
610,2403066.2863252317,4.711243290968499e-09
611,2389823.077306722,4.685817837081076e-09
612,2376652.8511210633,4.654281323544458e-09
613,2363555.2055625776,4.617919298163075e-09
614,2350529.740642125,4.5667857321806056e-09
615,2337576.0585748907,4.5028649402778855e-09
616,2324693.763768237,4.426159813834409e-09
617,2311882.4628096237,4.3372698574841716e-09
618,2299141.7644545916,4.246989505368673e-09
619,2286471.2796148164,4.155808383489479e-09
620,2273870.621346225,4.0694793458698645e-09
621,2261339.404837176,3.98742579063586e-09
622,2248877.2473967145,3.9079706162533495e-09
623,2236483.768442877,3.832146163255296e-09
624,2224158.589491078,3.760038031658614e-09
625,2211901.334142543,3.6884195134858512e-09
626,2199711.6280728173,3.6156389891638986e-09
627,2187589.0990203368,3.54134783777133e-09
628,2175533.3767750533,3.467626183174476e-09
629,2163544.093167137,3.3954071145532373e-09
630,2151620.8820557236,3.3226879273602346e-09
631,2139763.3793177414,3.248582328978347e-09
632,2127971.2228367855,3.1751940126033797e-09
633,2116244.0524920593,3.102707144013368e-09
634,2104581.510147384,3.030203577812202e-09
635,2092983.23964025,2.95762177042576e-09
636,2081448.88677095,2.8848592970373026e-09
637,2069978.0992917563,2.8120975457603187e-09
638,2058570.526896166,2.7413619271077765e-09
639,2047225.8212082002,2.671004968116035e-09
640,2035943.6357717717,2.602671716920823e-09
641,2024723.6260400962,2.534704574832776e-09
642,2013565.4493651749,2.4663427614384943e-09
643,2002468.7649873295,2.3999384234717195e-09
644,1991433.234024794,2.3356206828217322e-09
645,1980458.5194633713,2.2723520610401796e-09
646,1969544.2861461341,2.2093726583105796e-09
647,1958690.2007631906,2.146067112302872e-09
